Issue Type,Work Item ID,Summary,Description,Parent,Priority,Story Points,Assignee
Epic,WI-001,Branch selection (single branch),Allow users to select and persist a pilot branch,,,,
Story,WI-002,Select pilot branch,User selects the pilot branch,WI-001,2,100,
Story,WI-003,Persist chosen branch,System saves selected branch,WI-001,3,100,
Epic,WI-004,Live queue status,Show real-time queue information,,,,
Story,WI-005,View queue size,User sees current queue size,WI-004,3,100,
Story,WI-006,View estimated wait,User sees estimated wait time,WI-004,3,100,
Story,WI-007,View my live position,User sees their live position,WI-004,2,100,
Story,WI-008,View now serving,User sees which turn is being served,WI-004,2,200,
Epic,WI-009,Digital turn reservation,Reserve and manage turns digitally,,,,
Story,WI-010,Reserve a turn,User reserves a digital turn,WI-009,1,200,
Story,WI-011,Show reservation confirmation,User sees confirmation after reserving,WI-009,2,200,
Story,WI-012,Enforce one active turn,System prevents multiple active turns,WI-009,2,200,
Story,WI-013,Display turn number prominently,Turn number is clearly visible,WI-009,3,100,
Epic,WI-014,Arrival time guidance,Guide users on when to arrive,,,,
Story,WI-015,Show Arrive at time,User sees recommended arrival time,WI-014,3,100,
Story,WI-016,Explain arrival guidance simply,User understands arrival logic,WI-014,4,200,
Story,WI-017,Update arrival time dynamically,Arrival time updates dynamically,WI-014,3,400,
Epic,WI-018,Turn notification,Notify users about their turn,,,,
Story,WI-019,See status without notification,User can check status manually,WI-018,5,100,
Story,WI-020,Send turn is near alert,User receives turn alert,WI-018,2,400,
Epic,WI-021,Admin queue control,Admin manages queue flow,,,,
Story,WI-022,View queue in strict order,Admin sees strict order,WI-021,2,100,
Story,WI-023,See currently active turn,Admin sees active turn,WI-021,2,100,
Story,WI-024,Mark turn as served,Admin marks turn served,WI-021,1,200,
Story,WI-025,Call next turn only,Admin can call next turn,WI-021,1,400,
Epic,WI-026,Trust & enforcement visibility,Ensure fairness and transparency,,,,
Story,WI-027,Show served in order confirmation,User sees fairness confirmation,WI-026,4,100,
Story,WI-028,Show my turn vs now serving,User compares their turn,WI-026,3,200,
Story,WI-029,Prevent turn skipping system-wide,System blocks skipping,WI-026,1,400,
